"三阶段的【阈值】","离散数据【方法】","本次的【离散度】","此次的源【文件】","流程是否涉及排序","本次全部的关系数","本次程序运行时间","含五表型的关系数","其中含特定基因数","无关基因的比重为","三阶段执行时间为","【特定基因】比重","满足的【关系】为"
"0.01 0.01 0.01","interval",8,"D:\RST\Gene100_1.csv","FALSE",611,54.7897333343824,34,6,"p`= 0.28","P = 1.5",1472839500.674," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966] [BC,GRMZM2G152135]"
"0.01 0.01 0.01","interval",8,"D:\RST\Gene100_2.csv","FALSE",677,48.7276833335559,27,8,"p`= 0.19","P = 2",1472842780.712," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [Bcry,GRMZM2G152135] [Bcry,GRMZM2G108457] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","interval",8,"D:\RST\Gene100_3.csv","FALSE",647,42.9399499972661,27,7,"p`= 0.2","P = 1.75",1472845654.079," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","interval",8,"D:\RST\Gene100_4.csv","FALSE",774,50.6173999985059,23,6,"p`= 0.17","P = 1.5",1472848987.899," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [GRMZM2G012966,LUT] [BC,GRMZM2G012966] [AC,GRMZM2G300348] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","interval",8,"D:\RST\Gene100_5.csv","FALSE",685,47.2223166664441,25,7,"p`= 0.18","P = 1.75",1472852119.774," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.015 0.015 0.015","interval",8,"D:\RST\Gene100_1.csv","FALSE",404,31.6748000025749,20,6,"p`= 0.14","P = 1.5",1472854318.976," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966] [BC,GRMZM2G152135]"
"0.015 0.015 0.015","interval",8,"D:\RST\Gene100_2.csv","FALSE",451,33.4860166668892,19,7,"p`= 0.12","P = 1.75",1472856625.472," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.015 0.015 0.015","interval",8,"D:\RST\Gene100_3.csv","FALSE",393,27.8164666652679,17,4,"p`= 0.13","P = 1",1472858592.913," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","interval",8,"D:\RST\Gene100_4.csv","FALSE",498,33.215683333079,14,4,"p`= 0.1","P = 1",1472860886.022," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [GRMZM2G012966,LUT] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","interval",8,"D:\RST\Gene100_5.csv","FALSE",446,30.708383333683,14,4,"p`= 0.1","P = 1",1472863029.641," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","interval",8,"D:\RST\Gene100_1.csv","FALSE",291,22.266766667366,14,4,"p`= 0.1","P = 1",1472864668.478," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","interval",8,"D:\RST\Gene100_2.csv","FALSE",315,23.9881500005722,9,4,"p`= 0.05","P = 1",1472866408.657," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966] [BC,GRMZM2G152135]"
"0.02 0.02 0.02","interval",8,"D:\RST\Gene100_3.csv","FALSE",284,19.30606666406,12,4,"p`= 0.08","P = 1",1472867868.202," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","interval",8,"D:\RST\Gene100_4.csv","FALSE",347,24.0768666664759,6,3,"p`= 0.03","P = 0.75",1472869607.394," [LUT,GRMZM2G300348] [GRMZM2G012966,LUT] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","interval",8,"D:\RST\Gene100_5.csv","FALSE",316,21.0389833331108,8,2,"p`= 0.06","P = 0.5",1472871173.23," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966]"
"0.025 0.025 0.025","interval",8,"D:\RST\Gene100_1.csv","FALSE",221,16.1573833346367,9,3,"p`= 0.06","P = 0.75",1472872446.34," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","interval",8,"D:\RST\Gene100_2.csv","FALSE",231,19.279266667366,6,3,"p`= 0.03","P = 0.75",1472873931.474," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","interval",8,"D:\RST\Gene100_3.csv","FALSE",206,14.4676833351453,8,3,"p`= 0.05","P = 0.75",1472875123.094," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","interval",8,"D:\RST\Gene100_4.csv","FALSE",263,17.3979500015577,7,3,"p`= 0.04","P = 0.75",1472876404.587," [LUT,GRMZM2G300348] [GRMZM2G012966,LUT] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","interval",8,"D:\RST\Gene100_5.csv","FALSE",237,16.0785833319028,9,3,"p`= 0.06","P = 0.75",1472877709.664," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","interval",8,"D:\RST\Gene100_1.csv","FALSE",484,26.7473333358765,22,4,"p`= 0.18","P = 1",1472879612.679," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","interval",8,"D:\RST\Gene100_2.csv","FALSE",533,29.8340666691462,15,5,"p`= 0.1","P = 1.25",1472881709.677," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966] [BC,GRMZM2G152135]"
