"三阶段的【阈值】","离散数据【方法】","本次的【离散度】","此次的源【文件】","流程是否涉及排序","本次全部的关系数","本次程序运行时间","含五表型的关系数","其中含特定基因数","无关基因的比重为","三阶段执行时间为","【特定基因】比重","满足的【关系】为"
"0.01 0.01 0.01","quantile",4,"D:\RST\Gene100_6.csv","FALSE",509,15.3205591678619,22,6,"p`= 0.16","P = 1.5",1473188289.30527," [ZEA,GRMZM2G012966] [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",4,"D:\RST\Gene100_7.csv","FALSE",540,16.8781361659368,26,8,"p`= 0.18","P = 2",1473189411.28475," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [BC,GRMZM2G108457] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",4,"D:\RST\Gene100_8.csv","FALSE",522,15.5963302493095,25,5,"p`= 0.2","P = 1.25",1473190457.90993," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G108457] [BC,GRMZM2G012966]"
"0.01 0.01 0.01","quantile",4,"D:\RST\Gene100_9.csv","FALSE",566,16.5465448498726,20,5,"p`= 0.15","P = 1.25",1473191559.9634," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",4,"D:\RST\Gene100_10.csv","FALSE",537,16.3809295336405,18,4,"p`= 0.14","P = 1",1473192657.34465," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",4,"D:\RST\Gene100_6.csv","FALSE",333,9.60636401573817,12,3,"p`= 0.09","P = 0.75",1473193343.4628," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",4,"D:\RST\Gene100_7.csv","FALSE",326,10.0295226812363,15,4,"p`= 0.11","P = 1",1473194054.9507," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.015 0.015 0.015","quantile",4,"D:\RST\Gene100_8.csv","FALSE",310,9.36382294893265,15,4,"p`= 0.11","P = 1",1473194726.03872," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",4,"D:\RST\Gene100_9.csv","FALSE",355,10.4419295668602,13,4,"p`= 0.09","P = 1",1473195461.86547," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",4,"D:\RST\Gene100_10.csv","FALSE",352,10.5846348166466,14,4,"p`= 0.1","P = 1",1473196206.14795," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
