"三阶段的【阈值】","离散数据【方法】","本次的【离散度】","此次的源【文件】","流程是否涉及排序","本次全部的关系数","本次程序运行时间","含五表型的关系数","其中含特定基因数","无关基因的比重为","三阶段执行时间为","【特定基因】比重","满足的【关系】为"
"0.01 0.01 0.01","quantile",8,"D:\RST\Gene100_1.csv","FALSE",529,16.8127671202024,28,5,"p`= 0.23","P = 1.25",1472834141.7177," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",8,"D:\RST\Gene100_2.csv","FALSE",593,18.6751752853394,25,6,"p`= 0.19","P = 1.5",1472835373.85052," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966] [BC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",8,"D:\RST\Gene100_3.csv","FALSE",474,14.789607433478,30,5,"p`= 0.25","P = 1.25",1472836372.80814," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",8,"D:\RST\Gene100_4.csv","FALSE",638,18.3937524159749,26,5,"p`= 0.21","P = 1.25",1472837588.79175," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",8,"D:\RST\Gene100_5.csv","FALSE",549,17.380839018027,22,6,"p`= 0.16","P = 1.5",1472838743.45647," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.015 0.015 0.015","quantile",8,"D:\RST\Gene100_1.csv","FALSE",346,11.1850890358289,17,4,"p`= 0.13","P = 1",1472839526.55432," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",8,"D:\RST\Gene100_2.csv","FALSE",364,12.5933030486107,18,4,"p`= 0.14","P = 1",1472840393.67281," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",8,"D:\RST\Gene100_3.csv","FALSE",312,9.24446779886881,16,4,"p`= 0.12","P = 1",1472841068.75523," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",8,"D:\RST\Gene100_4.csv","FALSE",398,12.0279811143875,14,4,"p`= 0.1","P = 1",1472841907.56075," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",8,"D:\RST\Gene100_5.csv","FALSE",354,11.7629399816195,18,5,"p`= 0.13","P = 1.25",1472842725.12949," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.02 0.02 0.02","quantile",8,"D:\RST\Gene100_1.csv","FALSE",233,8.12870546579361,13,3,"p`= 0.1","P = 0.75",1472843324.53164," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",8,"D:\RST\Gene100_2.csv","FALSE",266,8.53159651756287,11,3,"p`= 0.08","P = 0.75",1472843948.28575," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",8,"D:\RST\Gene100_3.csv","FALSE",215,6.17456055084864,13,4,"p`= 0.09","P = 1",1472844430.40869," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",8,"D:\RST\Gene100_4.csv","FALSE",255,7.4999752998352,10,4,"p`= 0.06","P = 1",1472844992.24136," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",8,"D:\RST\Gene100_5.csv","FALSE",256,7.70853333473206,15,5,"p`= 0.1","P = 1.25",1472845567.66347," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.025 0.025 0.025","quantile",8,"D:\RST\Gene100_1.csv","FALSE",181,5.91922761599223,9,3,"p`= 0.06","P = 0.75",1472846034.36305," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",8,"D:\RST\Gene100_2.csv","FALSE",196,5.95594189961751,6,1,"p`= 0.05","P = 0.25",1472846503.42237," [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",8,"D:\RST\Gene100_3.csv","FALSE",167,4.55591796636581,9,3,"p`= 0.06","P = 0.75",1472846895.92411," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",8,"D:\RST\Gene100_4.csv","FALSE",191,5.22524723211924,8,3,"p`= 0.05","P = 0.75",1472847321.62049," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",8,"D:\RST\Gene100_5.csv","FALSE",198,6.02515865166982,11,2,"p`= 0.09","P = 0.5",1472847807.37954," [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",8,"D:\RST\Gene100_1.csv","FALSE",335,8.61948190132777,19,3,"p`= 0.16","P = 0.75",1472848436.17069," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",8,"D:\RST\Gene100_2.csv","FALSE",381,9.0161177833875,18,4,"p`= 0.14","P = 1",1472849098.60044," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",8,"D:\RST\Gene100_3.csv","FALSE",311,6.65751025279363,22,4,"p`= 0.18","P = 1",1472849618.35558," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",8,"D:\RST\Gene100_4.csv","FALSE",377,8.48534618616104,20,4,"p`= 0.16","P = 1",1472850241.62429," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",8,"D:\RST\Gene100_5.csv","FALSE",368,8.73457683324814,19,5,"p`= 0.14","P = 1.25",1472850887.62035," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",7,"D:\RST\Gene100_1.csv","FALSE",541,17.9349020838737,24,7,"p`= 0.17","P = 1.75",1472852079.144," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",7,"D:\RST\Gene100_2.csv","FALSE",590,19.0879396637281,27,7,"p`= 0.2","P = 1.75",1472853336.3064," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",7,"D:\RST\Gene100_3.csv","FALSE",488,15.6037082672119,30,8,"p`= 0.22","P = 2",1472854383.73433," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G152135] [Bcry,GRMZM2G108457] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",7,"D:\RST\Gene100_4.csv","FALSE",631,18.9243019024531,21,5,"p`= 0.16","P = 1.25",1472855632.18681," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",7,"D:\RST\Gene100_5.csv","FALSE",567,18.6447494308154,27,8,"p`= 0.19","P = 2",1472856862.10472," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G108457] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.015 0.015 0.015","quantile",7,"D:\RST\Gene100_1.csv","FALSE",349,11.7025856852531,18,4,"p`= 0.14","P = 1",1472857685.98054," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",7,"D:\RST\Gene100_2.csv","FALSE",382,12.4772662997246,18,4,"p`= 0.14","P = 1",1472858545.94286," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",7,"D:\RST\Gene100_3.csv","FALSE",316,9.45115848382314,19,5,"p`= 0.14","P = 1.25",1472859228.09261," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.015 0.015 0.015","quantile",7,"D:\RST\Gene100_4.csv","FALSE",396,12.231013349692,14,4,"p`= 0.1","P = 1",1472860076.85314," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",7,"D:\RST\Gene100_5.csv","FALSE",351,11.5924356500308,16,5,"p`= 0.11","P = 1.25",1472860885.34634," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.02 0.02 0.02","quantile",7,"D:\RST\Gene100_1.csv","FALSE",241,7.56320201555888,11,3,"p`= 0.08","P = 0.75",1472861450.7573," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",7,"D:\RST\Gene100_2.csv","FALSE",272,8.27164860169093,8,3,"p`= 0.05","P = 0.75",1472862058.72977," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",7,"D:\RST\Gene100_3.csv","FALSE",215,6.05143546660741,11,3,"p`= 0.08","P = 0.75",1472862533.00683," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",7,"D:\RST\Gene100_4.csv","FALSE",266,7.59627561569214,7,3,"p`= 0.04","P = 0.75",1472863099.9247," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",7,"D:\RST\Gene100_5.csv","FALSE",259,7.82480210065842,14,4,"p`= 0.1","P = 1",1472863681.60208," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [BC,GRMZM2G152135]"
"0.025 0.025 0.025","quantile",7,"D:\RST\Gene100_1.csv","FALSE",193,5.33545966943105,11,3,"p`= 0.08","P = 0.75",1472864112.98974," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",7,"D:\RST\Gene100_2.csv","FALSE",196,5.79308485190074,7,1,"p`= 0.06","P = 0.25",1472864572.03118," [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",7,"D:\RST\Gene100_3.csv","FALSE",160,4.44511530001958,10,3,"p`= 0.07","P = 0.75",1472864958.34719," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",7,"D:\RST\Gene100_4.csv","FALSE",190,5.25235745112101,8,3,"p`= 0.05","P = 0.75",1472865396.53494," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",7,"D:\RST\Gene100_5.csv","FALSE",198,6.07505746682485,11,2,"p`= 0.09","P = 0.5",1472865872.26935," [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",7,"D:\RST\Gene100_1.csv","FALSE",341,8.51633675098419,18,3,"p`= 0.15","P = 0.75",1472866498.85458," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",7,"D:\RST\Gene100_2.csv","FALSE",384,9.5632027665774,18,4,"p`= 0.14","P = 1",1472867183.95104," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",7,"D:\RST\Gene100_3.csv","FALSE",315,6.47660295168559,23,3,"p`= 0.2","P = 0.75",1472867684.23576," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",7,"D:\RST\Gene100_4.csv","FALSE",387,8.25486951669057,17,4,"p`= 0.13","P = 1",1472868291.11312," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",7,"D:\RST\Gene100_5.csv","FALSE",358,8.40569761594137,21,5,"p`= 0.16","P = 1.25",1472868906.97952," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [BC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",6,"D:\RST\Gene100_1.csv","FALSE",526,16.5789898832639,30,7,"p`= 0.23","P = 1.75",1472870013.276," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",6,"D:\RST\Gene100_2.csv","FALSE",568,17.7427663644155,26,7,"p`= 0.19","P = 1.75",1472871188.63189," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",6,"D:\RST\Gene100_3.csv","FALSE",464,14.473891667525,27,5,"p`= 0.22","P = 1.25",1472872167.83555," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",6,"D:\RST\Gene100_4.csv","FALSE",622,17.7930264989535,22,5,"p`= 0.17","P = 1.25",1472873346.16076," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",6,"D:\RST\Gene100_5.csv","FALSE",547,17.9371820648511,24,7,"p`= 0.17","P = 1.75",1472874533.8133," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G108457] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
"0.015 0.015 0.015","quantile",6,"D:\RST\Gene100_1.csv","FALSE",336,11.1096562147141,18,4,"p`= 0.14","P = 1",1472875311.26568," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",6,"D:\RST\Gene100_2.csv","FALSE",369,11.9490631659826,14,4,"p`= 0.1","P = 1",1472876146.69858," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",6,"D:\RST\Gene100_3.csv","FALSE",304,9.1722488840421,16,4,"p`= 0.12","P = 1",1472876808.03939," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.015 0.015 0.015","quantile",6,"D:\RST\Gene100_4.csv","FALSE",394,11.3015865842501,12,5,"p`= 0.07","P = 1.25",1472877597.1022," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.015 0.015 0.015","quantile",6,"D:\RST\Gene100_5.csv","FALSE",342,11.1671371181806,17,5,"p`= 0.12","P = 1.25",1472878387.44059," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [BC,GRMZM2G152135] [AC,GRMZM2G152135]"
